Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Burdwood Group	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.796935	-126.495825	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Raleigh Passage	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cecil Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.850133	-126.716497	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Greenway Sound	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	650	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cliff Bay	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.83476	-126.496479	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	N. of Pollard Point	Eastern Side-Vancouver Island-BC	Fallow	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Cypress Hrbr	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.837499	-126.663684	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Harbour Pt, Sutlej Channel	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	300	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Dixon Bay	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.40439	-126.151908	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Shelter Inlet	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Fortune Channel	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.235025	-125.751746	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	East side Warn Bay	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Little Bear Bay Hatchery	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.338181	-125.522761	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Little Bear Bay	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Maude Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.85424	-126.757945	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	S.E. Broughton Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
McIntyre Lake (Island)	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.305556	-125.815815	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Bedwell Sound	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3960	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Millar Channel	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.375471	-126.092361	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	2 km S. Hayden Passage	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Mussel Rock	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.258682	-125.870416	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Clayoquot Sound	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	25,750 kg of fish (oct. 2015)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Ocean Falls Hatchery	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	52.348341	-127.690709	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Ocean Falls (Town of)	Central Coast, BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Ocean Farms Hatchery	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	48.759677	-123.680403	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Koksilah	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Plover Point	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.214139	-125.766731	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Fortune Channel	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Rant Point	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.256901	-125.841693	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Clayoquot Sound	Western Shore-Vancouver Island, BC	Fallow	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Raza Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.321629	-125.008741	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Raza Passage	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2278	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Ross Pass	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.324277	-126.048604	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Northeast McKay Island	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
San Mateo	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	48.938786	-124.991057	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	San Mateo Bay	Western Shore-Vancouver Island, BC	fallow	Info coming soon	Info coming soon	100	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Saranac Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.247749	-125.907057	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	NW of Meares Island	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Simmonds Bay (Mt. Simmonds)	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.878471	-126.902384	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Wells Passage, Simmonds Bay	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sir Edmund Bay	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.831661	-126.597278	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	NE Shore Broughton Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Stelling Road Hatchery	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.486002	-124.800346	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Fanny Bay	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Venture Point	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.302413	-125.337799	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Sonora Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Wehlis Bay, Wells Passage	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	50.865069	-126.921796	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Whelis Bay	Eastern Side-Vancouver Island-BC	Fallow	Info coming soon	Info coming soon	3000	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
West Side	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.279125	-125.830596	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Bedwell Sound	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	3960	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Yaakswiis, Millar Channel, East of Flores Island	Cermaq Canada Ltd	Geir Molvik	$1,201,286.55 (2017)	$85,280,899.08 (2017)	207,362 MT (2019)	49.362917	-126.082252	Sea Farm	Atlantic Salmon (Salmo salar)	Cermaq	N/A	N/A	Canada	British Columbia	Approx 3 km. S. of Hayden Passage	Western Shore-Vancouver Island, BC	Pen Not Present	Info coming soon	Info coming soon	2640	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Baxter Islet, Dawley Passage	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.13295	-125.782803	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Dawley's Passage	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	1200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Dawley Passage	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.16566	-125.769224	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Fortune Channel, Dark Islands	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	1200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Eagle Bay	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.129277	-125.710264	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Tofino Inlet	Western Shore-Vancouver Island, BC	Fallow 	Info coming soon	Info coming soon	1200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Indian Bay	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.11176	-125.724831	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Tofino Inlet	Western Shore-Vancouver Island, BC	Pen Not Present	Info coming soon	Info coming soon	1200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
McCall Islets	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.143434	-125.71864	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Tofino Inlet	Western Shore-Vancouver Island, BC	Pen Not Present	Info coming soon	Info coming soon	1200	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Sea Spring Hatchery	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	48.876484	-123.709709	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	N/A	N/A	N/A	Canada	British Columbia	Chemainus, BC	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Warne Island	Creative Salmon Company Ltd.	Tim Rundle/General Manager	TBD	TBD	TBD	49.126694	-125.745551	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha)	N/A	N/A	N/A	Canada	British Columbia	Tofino Inlet	Western Shore-Vancouver Island, BC	Y	Info coming soon	Info coming soon	1500	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Centre Cove	Golden Eagle Sable Fish Inc.	Andreas Kvame	$694,657.00 (2019)		83,000 MT (2019) of which 14,120 MT from British Columbia	50.020174	-127.193522	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria)	N/A	N/A	N/A	Canada	British Columbia	Pinnace Ch, Kyuquot Sound	Western Shore-Vancouver Island, BC	N/A	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Charlie's Place	Golden Eagle Sable Fish Inc.	Andreas Kvame	$694,657.00 (2019)		83,000 MT (2019) of which 14,120 MT from British Columbia	50.03757	-127.175982	Sea Farm	Chinook Salmon (Oncorhynchus tshawytscha), Sablefish (Anoplopoma fimbria)	N/A	N/A	N/A	Canada	British Columbia	 E. Pinnace Ch, Kyuquot Sound	Western Shore-Vancouver Island, BC	N/A	Info coming soon	Info coming soon	2700	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Ahlstrom Point, Jervis Inlet	Grieg Seafood BC Ltd.	Andreas Kvame	$694,657.00 (2019)	8 273.6 million NOK (2019)	83,000 MT (2019) of which 14,120 MT from British Columbia	49.779472	-124.153822	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Atlantic Salmon (Salmo salar)	Grieg, "Skuna Bay - Vancouver Island Craft Raised Salmon", KVITSØY	N/A	N/A	Canada	British Columbia	Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	1100 MT permitted but produced 1,409 MT (2019)	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
